,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11,14002029,JJ456754,2025-10-18T00:00:00.000,022XX S KOSTNER AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,1013,10,22,29,08B,1147410.0,1888650.0,2025,2025-10-25T15:43:27.000,41.850414293,-87.73446887,"
,  
(41.850414293, -87.73446887)"
12,14002797,JJ457061,2025-10-18T00:00:00.000,045XX N WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1724,17,33,14,14,1155232.0,1929915.0,2025,2025-10-25T15:43:27.000,41.963495796,-87.70465053,"
,  
(41.963495796, -87.70465053)"
13,14003180,JJ458201,2025-10-18T00:00:00.000,063XX S RACINE AVE,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,CTA TRAIN,False,False,724,7,16,67,14,1169407.0,1862778.0,2025,2025-10-25T15:43:27.000,41.778969503,-87.654486077,"
,  
(41.778969503, -87.654486077)"
14,14003192,JJ458202,2025-10-18T00:00:00.000,063XX S RACINE AVE,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,CTA TRAIN,False,False,724,7,16,67,14,1169407.0,1862778.0,2025,2025-10-25T15:43:27.000,41.778969503,-87.654486077,"
,  
(41.778969503, -87.654486077)"
15,14001409,JJ456136,2025-10-18T00:00:00.000,035XX N CLARK ST,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1924,19,44,6,06,1168480.0,1923896.0,2025,2025-10-25T15:43:27.000,41.94670237,-87.656117076,"
,  
(41.94670237, -87.656117076)"
16,14001555,JJ456141,2025-10-18T00:00:00.000,029XX E 81ST PL,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,422,4,7,46,26,1197412.0,1851494.0,2025,2025-10-25T15:43:27.000,41.74735292,-87.552194674,"
,  
(41.74735292, -87.552194674)"
17,14001782,JJ456243,2025-10-18T00:00:00.000,081XX S PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,834,8,18,70,05,1151141.0,1850369.0,2025,2025-10-25T15:43:27.000,41.745293332,-87.721774867,"
,  
(41.745293332, -87.721774867)"
18,14001368,JJ455994,2025-10-18T00:00:00.000,083XX S BUFFALO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,True,424,4,10,46,07,1199590.0,1850305.0,2025,2025-10-25T15:43:27.000,41.744035687,-87.544254005,"
,  
(41.744035687, -87.544254005)"
19,14001295,JJ455774,2025-10-17T23:56:00.000,079XX S COLFAX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,422,4,7,46,08B,1194897.0,1852765.0,2025,2025-10-25T15:43:27.000,41.750902928,-87.561368373,"
,  
(41.750902928, -87.561368373)"
20,14002735,JJ457794,2025-10-17T23:56:00.000,064XX N HOYNE AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,2412,24,50,2,08A,1161133.0,1942726.0,2025,2025-10-25T15:43:27.000,41.998528837,-87.682596663,"
,  
(41.998528837, -87.682596663)"
21,14001320,JJ455790,2025-10-17T23:55:00.000,085XX W ARGYLE ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,1614,16,41,76,08B,1118425.0,1932108.0,2025,2025-10-25T15:43:27.000,41.970174964,-87.839934047,"
,  
(41.970174964, -87.839934047)"
22,14001183,JJ455788,2025-10-17T23:52:00.000,001XX W 112TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,False,False,522,5,9,49,14,1177251.0,1830685.0,2025,2025-10-25T15:43:27.000,41.690728743,-87.626695422,"
,  
(41.690728743, -87.626695422)"
23,14001250,JJ455786,2025-10-17T23:52:00.000,001XX W 112TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,522,5,9,49,08B,1177251.0,1830685.0,2025,2025-10-25T15:43:27.000,41.690728743,-87.626695422,"
,  
(41.690728743, -87.626695422)"
24,14001290,JJ455789,2025-10-17T23:51:00.000,088XX S MARQUETTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,423,4,7,46,08B,1195791.0,1846874.0,2025,2025-10-25T15:43:27.000,41.734715495,-87.558286819,"
,  
(41.734715495, -87.558286819)"
25,14003938,JJ458126,2025-10-17T23:45:00.000,006XX N DEARBORN ST,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1832,18,42,8,06,1175825.0,1904582.0,2025,2025-10-25T15:43:27.000,41.893541578,-87.629701805,"
,  
(41.893541578, -87.629701805)"
26,14001158,JJ455773,2025-10-17T23:45:00.000,026XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,133,1,4,35,14,1178484.0,1887040.0,2025,2025-10-25T15:43:27.000,41.845345061,-87.620471366,"
,  
(41.845345061, -87.620471366)"
27,14003727,JJ459006,2025-10-17T23:45:00.000,033XX W 31ST ST,0460,BATTERY,SIMPLE,FACTORY / MANUFACTURING BUILDING,False,False,1032,10,22,30,08B,1154299.0,1883866.0,2025,2025-10-25T15:43:27.000,41.837151804,-87.709312393,"
,  
(41.837151804, -87.709312393)"
28,14001153,JJ455770,2025-10-17T23:45:00.000,020XX S FAIRFIELD AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1023,10,25,30,15,1158352.0,1889996.0,2025,2025-10-25T15:43:27.000,41.853891445,-87.694272788,"
,  
(41.853891445, -87.694272788)"
29,14001232,JJ455769,2025-10-17T23:45:00.000,011XX N MONITOR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1511,15,29,25,14,1137147.0,1907077.0,2025,2025-10-25T15:43:27.000,41.901170711,-87.771693958,"
,  
(41.901170711, -87.771693958)"
30,14001823,JJ456592,2025-10-17T23:41:00.000,071XX S CORNELL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,324,3,7,43,26,1188469.0,1858002.0,2025,2025-10-25T15:43:27.000,41.765429574,-87.584756316,"
,  
(41.765429574, -87.584756316)"
31,14001190,JJ455752,2025-10-17T23:40:00.000,0000X N AUSTIN BLVD,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1513,15,29,25,26,1136380.0,1899715.0,2025,2025-10-25T15:43:27.000,41.880982172,-87.774687321,"
,  
(41.880982172, -87.774687321)"
32,14001293,JJ455761,2025-10-17T23:38:00.000,002XX W CERMAK RD,0810,THEFT,OVER $500,SIDEWALK,False,False,914,9,11,34,06,1175064.0,1889743.0,2025,2025-10-25T15:43:27.000,41.85283951,-87.632941357,"
,  
(41.85283951, -87.632941357)"
33,14001202,JJ455758,2025-10-17T23:35:00.000,028XX W DIVISION ST,0560,ASSAULT,SIMPLE,GAS STATION,False,False,1211,12,26,24,08A,1157398.0,1907857.0,2025,2025-10-25T15:43:27.000,41.902923197,-87.697288509,"
,  
(41.902923197, -87.697288509)"
34,14004209,JJ459457,2025-10-17T23:35:00.000,047XX W 47TH ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,815,8,22,56,06,1145343.0,1873052.0,2025,2025-10-25T15:43:27.000,41.807650441,-87.742448973,"
,  
(41.807650441, -87.742448973)"
35,14001157,JJ455750,2025-10-17T23:34:00.000,048XX W MADISON ST,0560,ASSAULT,SIMPLE,GAS STATION,False,False,1533,15,28,25,08A,1144203.0,1899587.0,2025,2025-10-25T15:43:27.000,41.880487595,-87.745964635,"
,  
(41.880487595, -87.745964635)"
36,14003378,JJ456388,2025-10-17T23:30:00.000,008XX W VILLAGE CT,0650,BURGLARY,HOME INVASION,APARTMENT,False,True,1232,12,25,28,05,1170939.0,1893002.0,2025,2025-10-25T15:43:27.000,41.861873796,-87.647985834,"
,  
(41.861873796, -87.647985834)"
37,14003412,JJ458511,2025-10-17T23:30:00.000,082XX S ELLIS AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,631,6,8,44,06,1184328.0,1850665.0,2025,2025-10-25T15:43:27.000,41.745394001,-87.600163368,"
,  
(41.745394001, -87.600163368)"
38,14001335,JJ455985,2025-10-17T23:30:00.000,030XX N CLYBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1931,19,32,5,14,1160779.0,1920269.0,2025,2025-10-25T15:43:27.000,41.936913141,-87.684524515,"
,  
(41.936913141, -87.684524515)"
39,14001343,JJ455963,2025-10-17T23:30:00.000,066XX S KILPATRICK AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,False,False,833,8,13,64,14,1146188.0,1860263.0,2025,2025-10-25T15:43:27.000,41.772539378,-87.739673596,"
,  
(41.772539378, -87.739673596)"
40,14001537,JJ456158,2025-10-17T23:30:00.000,043XX S ELLIS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,True,222,2,4,39,05,1183651.0,1876473.0,2025,2025-10-25T15:43:27.000,41.816229267,-87.601839542,"
,  
(41.816229267, -87.601839542)"
41,14001172,JJ455759,2025-10-17T23:30:00.000,080XX S MERRILL AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,414,4,8,46,08A,1191924.0,1852150.0,2025,2025-10-25T15:43:27.000,41.749287997,-87.572282625,"
,  
(41.749287997, -87.572282625)"
42,14001205,JJ455775,2025-10-17T23:29:00.000,046XX W BELMONT AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,False,False,2521,25,31,19,14,1144859.0,1920871.0,2025,2025-10-25T15:43:27.000,41.938880798,-87.743017971,"
,  
(41.938880798, -87.743017971)"
43,14003998,JJ458792,2025-10-17T23:27:00.000,035XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1733,17,35,21,06,1154298.0,1923613.0,2025,2025-10-25T15:43:27.000,41.946221444,-87.708253555,"
,  
(41.946221444, -87.708253555)"
44,14001180,JJ455749,2025-10-17T23:25:00.000,007XX W OHIO ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1214,12,27,24,03,1171143.0,1904076.0,2025,2025-10-25T15:43:27.000,41.892257156,-87.646911879,"
,  
(41.892257156, -87.646911879)"
45,14001189,JJ455764,2025-10-17T23:24:00.000,040XX W BELLE PLAINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,1722,17,39,16,08B,1148666.0,1926940.0,2025,2025-10-25T15:43:27.000,41.955461834,-87.728868854,"
,  
(41.955461834, -87.728868854)"
46,14002468,JJ457336,2025-10-17T23:20:00.000,087XX S HOUSTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,424,4,10,46,07,1198036.0,1847705.0,2025,2025-10-25T15:43:27.000,41.736940053,-87.550034589,"
,  
(41.736940053, -87.550034589)"
47,14001142,JJ455747,2025-10-17T23:15:00.000,017XX W 119TH ST,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,2234,22,21,75,08A,1166691.0,1825767.0,2025,2025-10-25T15:43:27.000,41.677464116,-87.665495904,"
,  
(41.677464116, -87.665495904)"
48,14001228,JJ455828,2025-10-17T23:15:00.000,023XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,1034,10,25,31,14,1160731.0,1888579.0,2025,2025-10-25T15:43:27.000,41.849954132,-87.685580175,"
,  
(41.849954132, -87.685580175)"
49,14001302,JJ455942,2025-10-17T23:01:00.000,075XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,835,8,18,66,07,1161683.0,1854656.0,2025,2025-10-25T15:43:27.000,41.756845413,-87.683028166,"
,  
(41.756845413, -87.683028166)"
50,14001486,JJ456187,2025-10-17T23:00:00.000,063XX S BISHOP ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,725,7,16,67,06,1167754.0,1862674.0,2025,2025-10-25T15:43:27.000,41.778719763,-87.660549104,"
,  
(41.778719763, -87.660549104)"
51,14001367,JJ456012,2025-10-17T23:00:00.000,055XX W NORTH AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,STREET,False,False,2532,25,37,25,11,1139266.0,1910089.0,2025,2025-10-25T15:43:27.000,41.909397663,-87.763837115,"
,  
(41.909397663, -87.763837115)"
52,14001439,JJ456165,2025-10-17T23:00:00.000,043XX W THOMAS ST,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,RESIDENCE,False,False,1111,11,37,23,24,1147192.0,1906976.0,2025,2025-10-25T15:43:27.000,41.90070717,-87.734799946,"
,  
(41.90070717, -87.734799946)"
53,14006409,JJ462144,2025-10-17T23:00:00.000,087XX S BURLEY AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,424,4,10,46,06,1199189.0,1847537.0,2025,2025-10-25T15:43:27.000,41.736450174,-87.545816084,"
,  
(41.736450174, -87.545816084)"
54,14001167,JJ455744,2025-10-17T22:58:00.000,021XX S FAIRFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1023,10,25,30,15,1158363.0,1889582.0,2025,2025-10-25T15:43:27.000,41.85275516,-87.694243724,"
,  
(41.85275516, -87.694243724)"
55,14001146,JJ455757,2025-10-17T22:57:00.000,103XX S WENTWORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,True,512,5,9,49,15,1176774.0,1836565.0,2025,2025-10-25T15:43:27.000,41.706875037,-87.628265515,"
,  
(41.706875037, -87.628265515)"
56,28921,JJ455712,2025-10-17T22:56:00.000,028XX N LEAVITT ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,1931,19,32,5,01A,1161638.0,1918807.0,2025,2025-10-25T15:43:27.000,41.93288344,-87.68140843,"
,  
(41.93288344, -87.68140843)"
57,14001178,JJ455729,2025-10-17T22:50:00.000,038XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,212,2,4,36,03,1182130.0,1879574.0,2025,2025-10-25T15:43:27.000,41.824774034,-87.607322715,"
,  
(41.824774034, -87.607322715)"
58,14001258,JJ455731,2025-10-17T22:50:00.000,079XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,624,6,8,44,04A,1184267.0,1852664.0,2025,2025-10-25T15:43:27.000,41.750880891,-87.600324481,"
,  
(41.750880891, -87.600324481)"
59,14002695,JJ457568,2025-10-17T22:45:00.000,088XX S DAUPHIN AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,632,6,8,44,07,1183893.0,1846364.0,2025,2025-10-25T15:43:27.000,41.733601747,-87.601891212,"
,  
(41.733601747, -87.601891212)"
60,14001121,JJ455717,2025-10-17T22:43:00.000,012XX S AVERS AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,True,False,1011,10,24,29,24,1150905.0,1894207.0,2025,2025-10-25T15:43:27.000,41.865595766,-87.721496141,"
,  
(41.865595766, -87.721496141)"
61,14001208,JJ455726,2025-10-17T22:40:00.000,026XX N LECLAIRE AVE,0460,BATTERY,SIMPLE,STREET,False,False,2521,25,31,19,08B,1141932.0,1917239.0,2025,2025-10-25T15:43:27.000,41.928969034,-87.753865791,"
,  
(41.928969034, -87.753865791)"
62,14001147,JJ455765,2025-10-17T22:37:00.000,029XX E 81ST ST,0460,BATTERY,SIMPLE,RESIDENCE,True,False,422,4,7,46,08B,1197435.0,1851834.0,2025,2025-10-25T15:43:27.000,41.748285332,-87.552099086,"
,  
(41.748285332, -87.552099086)"
63,14001154,JJ455736,2025-10-17T22:36:00.000,015XX W MARQUETTE RD,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",GROCERY FOOD STORE,False,False,725,7,16,67,08B,1167031.0,1860294.0,2025,2025-10-25T15:43:27.000,41.77220423,-87.663267662,"
,  
(41.77220423, -87.663267662)"
64,14001213,JJ455735,2025-10-17T22:30:00.000,048XX S LOOMIS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,933,9,20,61,08B,1167816.0,1872624.0,2025,2025-10-25T15:43:27.000,41.806022407,-87.660036124,"
,  
(41.806022407, -87.660036124)"
65,14002322,JJ457150,2025-10-17T22:25:00.000,048XX W STRONG ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1623,16,45,12,08B,1143256.0,1932476.0,2025,2025-10-25T15:43:27.000,41.970756065,-87.748618462,"
,  
(41.970756065, -87.748618462)"
66,14001245,JJ455738,2025-10-17T22:20:00.000,001XX N ABERDEEN ST,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,False,False,1224,12,27,28,03,1169123.0,1900967.0,2025,2025-10-25T15:43:27.000,41.88376995,-87.654420776,"
,  
(41.88376995, -87.654420776)"
67,14001155,JJ455718,2025-10-17T22:17:00.000,012XX N AUSTIN BLVD,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,True,2531,25,29,25,04B,1136138.0,1907631.0,2025,2025-10-25T15:43:27.000,41.902709024,-87.775386931,"
,  
(41.902709024, -87.775386931)"
68,14002842,JJ457064,2025-10-17T22:15:00.000,043XX N RICHMOND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1724,17,33,16,14,1155937.0,1928619.0,2025,2025-10-25T15:43:27.000,41.959925271,-87.702093574,"
,  
(41.959925271, -87.702093574)"
69,14001790,JJ456526,2025-10-17T22:13:00.000,036XX W LEXINGTON ST,0580,STALKING,SIMPLE,APARTMENT,False,True,1133,11,24,27,08A,1152250.0,1896453.0,2025,2025-10-25T15:43:27.000,41.871732631,-87.716499297,"
,  
(41.871732631, -87.716499297)"
70,14001899,JJ456231,2025-10-17T22:00:00.000,053XX N WESTERN AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,NURSING / RETIREMENT HOME,False,False,2011,20,40,4,17,1159379.0,1935412.0,2025,2025-10-25T15:43:27.000,41.978495324,-87.689251423,"
,  
(41.978495324, -87.689251423)"
71,14001437,JJ456042,2025-10-17T22:00:00.000,047XX S KEATING AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,815,8,22,56,10,1145493.0,1872699.0,2025,2025-10-25T15:43:27.000,41.806678923,-87.741907715,"
,  
(41.806678923, -87.741907715)"
72,14001371,JJ456059,2025-10-17T22:00:00.000,029XX W GRACE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1733,17,35,16,14,1155949.0,1925114.0,2025,2025-10-25T15:43:27.000,41.950307088,-87.702144365,"
,  
(41.950307088, -87.702144365)"
73,14001455,JJ456180,2025-10-17T22:00:00.000,045XX N TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,False,False,1724,17,33,14,14,1154567.0,1929904.0,2025,2025-10-25T15:43:27.000,41.963478974,-87.707095819,"
,  
(41.963478974, -87.707095819)"
74,14001444,JJ456154,2025-10-17T22:00:00.000,069XX S CLYDE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,331,3,5,43,06,1191408.0,1859410.0,2025,2025-10-25T15:43:27.000,41.769222543,-87.573938576,"
,  
(41.769222543, -87.573938576)"
75,14001395,JJ456092,2025-10-17T22:00:00.000,041XX W LELAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1722,17,39,14,07,1147756.0,1931172.0,2025,2025-10-25T15:43:27.000,41.967092326,-87.732105069,"
,  
(41.967092326, -87.732105069)"
76,14001165,JJ455766,2025-10-17T22:00:00.000,003XX N LOOMIS ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1215,12,27,28,06,1166917.0,1902067.0,2025,2025-10-25T15:43:27.000,41.886836037,-87.662489795,"
,  
(41.886836037, -87.662489795)"
77,14001669,JJ456474,2025-10-17T22:00:00.000,0000X W ELM ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1824,18,2,8,14,1175523.0,1908079.0,2025,2025-10-25T15:43:27.000,41.903144312,-87.63070575,"
,  
(41.903144312, -87.63070575)"
78,14001786,JJ456560,2025-10-17T22:00:00.000,040XX W WILCOX ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1115,11,28,26,07,1149448.0,1899029.0,2025,2025-10-25T15:43:27.000,41.878856261,-87.726719805,"
,  
(41.878856261, -87.726719805)"
79,14001313,JJ455961,2025-10-17T22:00:00.000,007XX N WILLARD CT,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1215,12,27,24,06,1167987.0,1905047.0,2025,2025-10-25T15:43:27.000,41.894990344,-87.658474418,"
,  
(41.894990344, -87.658474418)"
80,14001188,JJ455810,2025-10-17T22:00:00.000,012XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1231,12,28,28,08B,1168452.0,1895145.0,2025,2025-10-25T15:43:27.000,41.867808479,-87.657053185,"
,  
(41.867808479, -87.657053185)"
81,14001252,JJ455873,2025-10-17T22:00:00.000,075XX S EVANS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,624,6,6,69,07,1182533.0,1855092.0,2025,2025-10-25T15:43:27.000,41.75758394,-87.606603477,"
,  
(41.75758394, -87.606603477)"
82,14001755,JJ456574,2025-10-17T22:00:00.000,026XX W 71ST ST,0810,THEFT,OVER $500,STREET,False,False,831,8,17,66,06,1160069.0,1857472.0,2025,2025-10-25T15:43:27.000,41.764606265,-87.688865918,"
,  
(41.764606265, -87.688865918)"
83,14006992,JJ462136,2025-10-17T22:00:00.000,086XX S KNOX AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,834,8,18,70,06,1146945.0,1846792.0,2025,2025-10-25T15:43:27.000,41.735558192,-87.737240742,"
,  
(41.735558192, -87.737240742)"
84,14001657,JJ456285,2025-10-17T21:57:00.000,020XX S HALSTED ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,1235,12,25,31,04B,1171348.0,1890458.0,2025,2025-10-25T15:43:27.000,41.85488389,-87.64655917,"
,  
(41.85488389, -87.64655917)"
85,14001363,JJ455711,2025-10-17T21:55:00.000,015XX S KENNETH AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1012,10,24,29,08A,1146970.0,1892143.0,2025,2025-10-25T15:43:27.000,41.860007942,-87.735994581,"
,  
(41.860007942, -87.735994581)"
86,14001171,JJ455713,2025-10-17T21:50:00.000,005XX E 67TH ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,321,3,20,42,06,1180964.0,1860707.0,2025,2025-10-25T15:43:27.000,41.773028307,-87.612181073,"
,  
(41.773028307, -87.612181073)"
87,14001161,JJ455743,2025-10-17T21:45:00.000,046XX S INDIANA AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,True,False,215,2,3,38,08A,1178379.0,1874329.0,2025,2025-10-25T15:43:27.000,41.810467472,-87.621243351,"
,  
(41.810467472, -87.621243351)"
88,14001218,JJ455767,2025-10-17T21:45:00.000,094XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,False,False,2221,22,21,73,14,1167328.0,1842070.0,2025,2025-10-25T15:43:27.000,41.722188649,-87.662699611,"
,  
(41.722188649, -87.662699611)"
89,14003372,JJ458512,2025-10-17T21:30:00.000,076XX S VINCENNES AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,False,False,623,6,17,69,11,1175515.0,1854490.0,2025,2025-10-25T15:43:27.000,41.756091788,-87.632341337,"
,  
(41.756091788, -87.632341337)"
